chunk_words,top_k,system,qa_accuracy,bleu,rouge1,rouge2,rougeL
100,3,llm,0.0175,0.6087894592865105,0.0623526861210684,0.0052023809523809,0.0620193527877351
100,3,rag_bm25,0.435,34.65609591365012,0.5529482660923867,0.3086592630720095,0.5527209933651139
100,3,rag_dense,0.4525,36.25110278756226,0.5954867307602992,0.3332676905922017,0.5950415896944685
100,3,rag_hybrid,0.475,42.16569187837764,0.6107572687352236,0.3467640431832191,0.6104794909574458
100,5,llm,0.0175,0.6087894592865105,0.0623526861210684,0.0052023809523809,0.0620193527877351
100,5,rag_bm25,0.055,5.208965543935195,0.0871989207290798,0.0551377666451195,0.0870203493005084
100,5,rag_dense,0.17,10.242011702088766,0.2415875050747548,0.1365766282408159,0.2404878561027654
100,5,rag_hybrid,0.07,5.370747558360545,0.1109464473955109,0.0693676697839164,0.1107191746682382
100,7,llm,0.0175,0.6087894592865105,0.0623526861210684,0.0052023809523809,0.0620193527877351
100,7,rag_bm25,0.0025,0.9092363457673543,0.0173595134210733,0.0045274725274725,0.0170458068573668
100,7,rag_dense,0.04,2.1674354292328744,0.0688448952483199,0.0314301749735186,0.0679725190036032
100,7,rag_hybrid,0.0075,2.6385071756373577,0.0212912946676502,0.010458668725299,0.0211300043450696
100,10,llm,0.0175,0.6087894592865105,0.0623526861210684,0.0052023809523809,0.0620193527877351
100,10,rag_bm25,0.0,0.8516401538645826,0.0127166562782162,0.0025274725274725,0.0124029497145096
100,10,rag_dense,0.005,0.4592848432872811,0.0197842423047722,0.0026356488297277,0.0189118660600555
100,10,rag_hybrid,0.0025,2.475554255929746,0.0149542983306539,0.007958668725299,0.0147930080080732
200,3,llm,0.0175,0.6087894592865105,0.0623526861210684,0.0052023809523809,0.0620193527877351
200,3,rag_bm25,0.1125,6.522388937088263,0.15754181974078,0.0884031350900187,0.1566343486397293
200,3,rag_dense,0.32,17.724062711145038,0.3905124852197126,0.2185474702901298,0.3900704562342054
200,3,rag_hybrid,0.14,9.907933836627311,0.2040455546919984,0.1130769546657731,0.2036458681716222
200,5,llm,0.0175,0.6087894592865105,0.0623526861210684,0.0052023809523809,0.0620193527877351
200,5,rag_bm25,0.0025,1.0413909926645015,0.0145271473042024,0.0053460388265169,0.0139772751814403
200,5,rag_dense,0.0325,1.5291078039129369,0.0497995826185748,0.0225564189565136,0.0490926185681325
200,5,rag_hybrid,0.005,1.8586583775396133,0.0173567006299434,0.0060728962044751,0.0172567006299434
200,7,llm,0.0175,0.6087894592865105,0.0623526861210684,0.0052023809523809,0.0620193527877351
200,7,rag_bm25,0.0025,1.0413909926645015,0.0145271473042024,0.0053460388265169,0.0139772751814403
200,7,rag_dense,0.0,0.4492114309925157,0.0083210819525741,0.0008022383545069,0.0071595724475863
200,7,rag_hybrid,0.005,1.8586583775396133,0.0173567006299434,0.0060728962044751,0.0172567006299434
200,10,llm,0.0175,0.6087894592865105,0.0623526861210684,0.0052023809523809,0.0620193527877351
200,10,rag_bm25,0.0025,1.0413909926645015,0.0145271473042024,0.0053460388265169,0.0139772751814403
200,10,rag_dense,0.0,0.4520696598933302,0.0083210819525741,0.0008022383545069,0.0071595724475863
200,10,rag_hybrid,0.005,1.8586583775396133,0.0173567006299434,0.0060728962044751,0.0172567006299434
300,3,llm,0.0175,0.6087894592865105,0.0623526861210684,0.0052023809523809,0.0620193527877351
300,3,rag_bm25,0.075,2.7484326565233745,0.1150129924324987,0.0583308531746031,0.1139331075383445
300,3,rag_dense,0.185,9.872683823957964,0.2424450002765986,0.1259652520252365,0.2416834618150601
300,3,rag_hybrid,0.1125,7.986182648742312,0.1660612813572944,0.0964687596165666,0.1657572886168225
300,5,llm,0.0175,0.6087894592865105,0.0623526861210684,0.0052023809523809,0.0620193527877351
300,5,rag_bm25,0.0025,0.3720892538666987,0.0133772809183545,0.0036562499999999,0.0126549950024889
300,5,rag_dense,0.0075,1.8751441119602537,0.0220053671686641,0.0102751879699248,0.0207844491977461
300,5,rag_hybrid,0.005,0.8377397657422059,0.0179050968255859,0.0050801643749012,0.0176735178782175
300,7,llm,0.0175,0.6087894592865105,0.0623526861210684,0.0052023809523809,0.0620193527877351
300,7,rag_bm25,0.0025,0.3720892538666987,0.0133772809183545,0.0036562499999999,0.0126549950024889
300,7,rag_dense,0.0,1.54885927236811,0.0130659732292701,0.0027751879699248,0.0118450552583522
300,7,rag_hybrid,0.005,0.8377397657422059,0.0179050968255859,0.0050801643749012,0.0176735178782175
300,10,llm,0.0175,0.6087894592865105,0.0623526861210684,0.0052023809523809,0.0620193527877351
300,10,rag_bm25,0.0025,0.3720892538666987,0.0133772809183545,0.0036562499999999,0.0126549950024889
300,10,rag_dense,0.0,1.54885927236811,0.0130659732292701,0.0027751879699248,0.0118450552583522
300,10,rag_hybrid,0.005,0.8377397657422059,0.0179050968255859,0.0050801643749012,0.0176735178782175
500,3,llm,0.0175,0.6087894592865105,0.0623526861210684,0.0052023809523809,0.0620193527877351
500,3,rag_bm25,0.075,2.7702136777174613,0.1134779047132004,0.0583308531746031,0.1123980198190462
500,3,rag_dense,0.1775,8.697432999815419,0.2342794158610142,0.1212430298030143,0.2335178773994757
500,3,rag_hybrid,0.1125,7.718245014046238,0.1671862813572943,0.0949687596165666,0.1665697886168225
500,5,llm,0.0175,0.6087894592865105,0.0623526861210684,0.0052023809523809,0.0620193527877351
500,5,rag_bm25,0.0025,0.3714043426385527,0.0132914685613751,0.0036562499999999,0.0125691826455095
500,5,rag_dense,0.0025,1.6596793357162074,0.0191958433591403,0.0052751879699248,0.0179749253882223
500,5,rag_hybrid,0.005,0.8533872699948041,0.0188300968255859,0.0050801643749012,0.0183860178782175
500,7,llm,0.0175,0.6087894592865105,0.0623526861210684,0.0052023809523809,0.0620193527877351
500,7,rag_bm25,0.0025,0.3714043426385527,0.0132914685613751,0.0036562499999999,0.0125691826455095
500,7,rag_dense,0.0,1.5171073013288698,0.0166958433591403,0.0027751879699248,0.0154749253882223
500,7,rag_hybrid,0.005,0.8533872699948041,0.0188300968255859,0.0050801643749012,0.0183860178782175
500,10,llm,0.0175,0.6087894592865105,0.0623526861210684,0.0052023809523809,0.0620193527877351
500,10,rag_bm25,0.0025,0.3714043426385527,0.0132914685613751,0.0036562499999999,0.0125691826455095
500,10,rag_dense,0.0,1.5171073013288698,0.0166958433591403,0.0027751879699248,0.0154749253882223
500,10,rag_hybrid,0.005,0.8533872699948041,0.0188300968255859,0.0050801643749012,0.0183860178782175
