id,system,prediction,reference,correct,ref_length,pred_length
572851ba4b864d190016493e,llm,Laser rot,black spots that looked like mold or burned plastic which cause the disc to skip and the movie to exhibit excessive speckling noise,0.0,23,2
572851ba4b864d190016493e,rag_bm25,[3],black spots that looked like mold or burned plastic which cause the disc to skip and the movie to exhibit excessive speckling noise,0.0,23,1
572851ba4b864d190016493e,rag_dense,[3],black spots that looked like mold or burned plastic which cause the disc to skip and the movie to exhibit excessive speckling noise,0.0,23,1
572851ba4b864d190016493e,rag_hybrid,[2],black spots that looked like mold or burned plastic which cause the disc to skip and the movie to exhibit excessive speckling noise,0.0,23,1
56d63b901c8504140094703c,llm,a sandstone,bronze dog figurines.,0.0,3,2
56d63b901c8504140094703c,rag_bm25,[3],bronze dog figurines.,0.0,3,1
56d63b901c8504140094703c,rag_dense,"Parilia, Parentalia and Fordicidia",bronze dog figurines.,0.0,3,4
56d63b901c8504140094703c,rag_hybrid,[3],bronze dog figurines.,0.0,3,1
572f2607947a6a140053c7de,llm,Because it is a low voltage.,safety reasons,0.0,2,6
572f2607947a6a140053c7de,rag_bm25,"the early Modern period, the term ""university"" was not always used to designate a higher education institution.",safety reasons,0.0,2,17
572f2607947a6a140053c7de,rag_dense,[3],safety reasons,0.0,2,1
572f2607947a6a140053c7de,rag_hybrid,[4],safety reasons,0.0,2,1
5725f37fec44d21400f3d782,llm,New York City,Bahrain,0.0,1,3
5725f37fec44d21400f3d782,rag_bm25,I don't know,Bahrain,0.0,1,3
5725f37fec44d21400f3d782,rag_dense,Greek,Bahrain,0.0,1,1
5725f37fec44d21400f3d782,rag_hybrid,Cork,Bahrain,0.0,1,1
57267762708984140094c71e,llm,New York City,"Centum City, Busan",0.0,3,3
57267762708984140094c71e,rag_bm25,[3],"Centum City, Busan",0.0,3,1
57267762708984140094c71e,rag_dense,[4],"Centum City, Busan",0.0,3,1
57267762708984140094c71e,rag_hybrid,[3],"Centum City, Busan",0.0,3,1
572b4f0b111d821400f38e4f,llm,a Japanese film,as an occupied enemy,0.0,4,3
572b4f0b111d821400f38e4f,rag_bm25,Austria and Prussia,as an occupied enemy,0.0,4,3
572b4f0b111d821400f38e4f,rag_dense,Japan),as an occupied enemy,0.0,4,1
572b4f0b111d821400f38e4f,rag_hybrid,Yamashiro,as an occupied enemy,0.0,4,1
56e962d799e8941900975f79,llm,59.8,39.2%,0.0,1,1
